G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_51_454.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_51_454.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_51_454.jpg,0,0,0,18.32774
G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_51_519.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_51_519.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_51_519.jpg,0,0,0,18.69733
G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_51_589.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_51_589.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_51_589.jpg,0,0,0,18.55147
G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_51_659.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_51_659.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_51_659.jpg,0,0,0,17.93741
G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_51_730.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_51_730.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_51_730.jpg,0,0,0,17.78688
G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_51_800.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_51_800.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_51_800.jpg,0,0,0,18.18867
G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_51_869.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_51_869.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_51_869.jpg,0,0,0,18.04529
G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_51_936.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_51_936.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_51_936.jpg,0,0,0,17.4169
G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_52_004.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_52_004.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_52_004.jpg,-0.15,0.0414507,0,17.27518
G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_52_071.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_52_071.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_52_071.jpg,0,0.2182548,0,17.72248
G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_52_141.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_52_141.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_52_141.jpg,-0.15,0.40209,0,17.40239
G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_52_209.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_52_209.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_52_209.jpg,0,0.6432396,0,17.80682
G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_52_277.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_52_277.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_52_277.jpg,0,0.8242927,0,18.53091
G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_52_346.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_52_346.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_52_346.jpg,0,1,0,19.2566
G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_52_416.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_52_416.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_52_416.jpg,0,1,0,19.71949
G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_52_486.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_52_486.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_52_486.jpg,-0.1,1,0,20.54428
G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_52_554.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_52_554.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_52_554.jpg,-0.25,1,0,21.20987
G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_52_621.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_52_621.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_52_621.jpg,-0.4,1,0,21.68392
G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_52_691.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_52_691.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_52_691.jpg,-0.6000001,1,0,22.34926
G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_52_760.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_52_760.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_52_760.jpg,-0.7500002,1,0,22.81213
G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_52_829.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_52_829.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_52_829.jpg,0,1,0,23.50923
G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_52_899.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_52_899.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_52_899.jpg,0,1,0,24.07415
G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_52_968.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_52_968.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_52_968.jpg,0,1,0,24.84266
G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_53_035.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_53_035.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_53_035.jpg,0,1,0,25.41815
G:\Work\beta_simulator_windows\Data\IMG\center_2021_04_08_09_40_53_102.jpg,G:\Work\beta_simulator_windows\Data\IMG\left_2021_04_08_09_40_53_102.jpg,G:\Work\beta_simulator_windows\Data\IMG\right_2021_04_08_09_40_53_102.jpg,0,1,0,25.99071
